deployment_code,deployment_code,,deployment_code_yyyymmdd,,,,,,deployment_code
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220913_ADRIFT_033,,SWFSC_HUM_20220913_ADRIFT_033,ADRIFT,033,ADRIFT_033,,,SWFSC_HUM_20220913_ADRIFT_033
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20220927_ADRIFT_034,,SWFSC_SFB_20220927_ADRIFT_034,ADRIFT,034,ADRIFT_034,,,SWFSC_SFB_20220927_ADRIFT_034
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20221116_ADRIFT_036,,SWFSC_HUM_20221116_ADRIFT_036,ADRIFT,036,ADRIFT_036,,,SWFSC_HUM_20221116_ADRIFT_036
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20221116_ADRIFT_037,,SWFSC_HUM_20221116_ADRIFT_037,ADRIFT,037,ADRIFT_037,,,SWFSC_HUM_20221116_ADRIFT_037
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20221116_ADRIFT_038,,SWFSC_HUM_20221116_ADRIFT_038,ADRIFT,038,ADRIFT_038,,,SWFSC_HUM_20221116_ADRIFT_038
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20221213_ADRIFT_039,,SWFSC_HUM_20221213_ADRIFT_039,ADRIFT,039,ADRIFT_039,,,SWFSC_HUM_20221213_ADRIFT_039
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20221213_ADRIFT_040,,SWFSC_HUM_20221213_ADRIFT_040,ADRIFT,040,ADRIFT_040,,,SWFSC_HUM_20221213_ADRIFT_040
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20221213_ADRIFT_041,,SWFSC_HUM_20221213_ADRIFT_041,ADRIFT,041,ADRIFT_041,,,SWFSC_HUM_20221213_ADRIFT_041
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230316_ADRIFT_042,,SWFSC_ORE_20230316_ADRIFT_042,ADRIFT,042,ADRIFT_042,,,SWFSC_ORE_20230316_ADRIFT_042
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230316_ADRIFT_043,,SWFSC_ORE_20230316_ADRIFT_043,ADRIFT,043,ADRIFT_043,,,SWFSC_ORE_20230316_ADRIFT_043
