"Id","Latitude","Longitude","UTC","DeviceName","DeviceId","Message","recordingEffort","knots","DriftName","DeploymentSite"
3508113048,28.79821,-116.45424,2018-11-08 06:54:34,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.358524285793753,"CCES_022","BCN"
3508113049,28.8013,-116.45099,2018-11-08 07:26:23,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.463867982167396,"CCES_022","BCN"
3508113050,28.80228,-116.45042,2018-11-08 07:54:26,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.316105485935455,"CCES_022","BCN"
3508113051,28.80365,-116.44905,2018-11-08 08:24:26,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.218081412520381,"CCES_022","BCN"
3508113052,28.80366,-116.44884,2018-11-08 08:26:23,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.180724891285864,"CCES_022","BCN"
3508113053,28.80589,-116.44582,2018-11-08 09:26:11,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.210139620727485,"CCES_022","BCN"
3508113054,28.80645,-116.4447,2018-11-08 09:56:11,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.135501407999026,"CCES_022","BCN"
3508113055,28.80741,-116.44379,2018-11-08 10:25:53,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.174466512085343,"CCES_022","BCN"
3508113056,28.80739,-116.44376,2018-11-08 10:26:11,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.149630082989469,"CCES_022","BCN"
3508113057,28.80824,-116.44316,2018-11-08 10:55:33,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.12060171537201,"CCES_022","BCN"
3508113058,28.80908,-116.44278,2018-11-08 11:23:28,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.118716110484781,"CCES_022","BCN"
3508113059,28.80918,-116.44273,2018-11-08 11:25:33,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.121056950559101,"CCES_022","BCN"
3508113060,28.81021,-116.44231,2018-11-08 11:57:14,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.127718336541327,"CCES_022","BCN"
3508113061,28.81133,-116.44182,2018-11-08 12:23:10,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.165859045706927,"CCES_022","BCN"
3508113062,28.8124,-116.44148,2018-11-08 12:53:10,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.132725726022338,"CCES_022","BCN"
3508113063,28.81385,-116.44119,2018-11-08 13:20:33,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.151538456710435,"CCES_022","BCN"
3508113064,28.81377,-116.44122,2018-11-08 13:23:10,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.165920886671349,"CCES_022","BCN"
3508113065,28.81527,-116.44086,2018-11-08 13:50:47,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.171803484308189,"CCES_022","BCN"
3508113066,28.81557,-116.44072,2018-11-08 13:55:54,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.202872419276922,"CCES_022","BCN"
3508113067,28.8172,-116.43999,2018-11-08 14:20:33,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.249992359435817,"CCES_022","BCN"
3508113068,28.81738,-116.43991,2018-11-08 14:22:51,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.258697587129316,"CCES_022","BCN"
3508113069,28.8196,-116.43912,2018-11-08 14:54:08,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.268832050256848,"CCES_022","BCN"
3508113070,28.8219,-116.43837,2018-11-08 15:23:54,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.288087288655992,"CCES_022","BCN"
3508113071,28.82232,-116.43813,2018-11-08 15:26:05,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.293719961629897,"CCES_022","BCN"
3508113072,28.82482,-116.43713,2018-11-08 15:54:59,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.32867044404521,"CCES_022","BCN"
3508113073,28.82727,-116.43579,2018-11-08 16:23:45,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.349130777533765,"CCES_022","BCN"
3508113074,28.82725,-116.43587,2018-11-08 16:24:54,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.319989326982409,"CCES_022","BCN"
3508113075,28.82984,-116.43449,2018-11-08 16:55:37,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.333773006913744,"CCES_022","BCN"
3508113076,28.83166,-116.43334,2018-11-08 17:19:40,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.313486813980344,"CCES_022","BCN"
3508113077,28.83173,-116.43304,2018-11-08 17:22:30,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.304045807949462,"CCES_022","BCN"
3508113078,28.83432,-116.43231,2018-11-08 17:49:40,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.33570872179787,"CCES_022","BCN"
3508113079,28.83449,-116.43222,2018-11-08 17:55:14,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.312330270553316,"CCES_022","BCN"
3508113080,28.83634,-116.43111,2018-11-08 18:19:40,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.272314591025689,"CCES_022","BCN"
3508113081,28.83674,-116.43083,2018-11-08 18:25:52,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.299637081463628,"CCES_022","BCN"
3508113082,28.83809,-116.42961,2018-11-08 18:49:51,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.260308675844653,"CCES_022","BCN"
3508113083,28.83822,-116.4295,2018-11-08 18:52:07,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.257649361084208,"CCES_022","BCN"
3508113084,28.83951,-116.42799,2018-11-08 19:23:16,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.213121111893592,"CCES_022","BCN"
3508113085,28.84051,-116.42671,2018-11-08 19:52:58,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.199745315672178,"CCES_022","BCN"
3508113086,28.8405,-116.4267,2018-11-08 19:53:16,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.179984495477548,"CCES_022","BCN"
3508113087,28.84135,-116.4259,2018-11-08 20:18:58,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.151880233754565,"CCES_022","BCN"
3508113088,28.8415,-116.42578,2018-11-08 20:23:35,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.152122363824901,"CCES_022","BCN"
3508113089,28.84336,-116.42524,2018-11-08 20:52:58,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.234140677152151,"CCES_022","BCN"
3508113090,28.84324,-116.42467,2018-11-08 21:21:53,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.124071270811589,"CCES_022","BCN"
3508113091,28.84423,-116.42441,2018-11-08 21:48:28,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.136979946946847,"CCES_022","BCN"
3508113092,28.84435,-116.42438,2018-11-08 21:52:58,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.0744420527621894,"CCES_022","BCN"
3508113093,28.8454,-116.42412,2018-11-08 22:20:47,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.138448496948616,"CCES_022","BCN"
3508113094,28.84646,-116.42381,2018-11-08 22:48:05,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.137757080619064,"CCES_022","BCN"
3508113095,28.84814,-116.42307,2018-11-08 22:51:36,"C","0-2572479","UNLIMITED-TRACK",TRUE,1.83621142797311,"CCES_022","BCN"
3508113096,28.84921,-116.42281,2018-11-08 23:51:36,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.0653538080819293,"CCES_022","BCN"
3508113097,28.84935,-116.42279,2018-11-08 23:54:14,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.157989952815907,"CCES_022","BCN"
3508113098,28.85074,-116.42235,2018-11-09 00:20:28,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.196481108410258,"CCES_022","BCN"
3508113099,28.851,-116.42223,2018-11-09 00:23:59,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.207438123793717,"CCES_022","BCN"
3508113100,28.8524,-116.42192,2018-11-09 00:49:35,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.209554536698031,"CCES_022","BCN"
3508113101,28.85247,-116.42192,2018-11-09 00:50:15,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.203982201594335,"CCES_022","BCN"
3508113102,28.85423,-116.42124,2018-11-09 01:16:50,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.253211318532626,"CCES_022","BCN"
3508113103,28.85443,-116.4212,2018-11-09 01:23:59,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.218835960885007,"CCES_022","BCN"
3508113104,28.8559,-116.42064,2018-11-09 01:46:50,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.209228940895544,"CCES_022","BCN"
3508113105,28.85612,-116.42054,2018-11-09 01:50:13,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.244126797963292,"CCES_022","BCN"
3508113106,28.85827,-116.41985,2018-11-09 02:20:13,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.266879326599434,"CCES_022","BCN"
3508113107,28.86089,-116.41881,2018-11-09 02:53:50,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.295859861906388,"CCES_022","BCN"
3508113108,28.86337,-116.41761,2018-11-09 03:19:57,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.369880241932626,"CCES_022","BCN"
3508113109,28.86599,-116.41632,2018-11-09 03:49:57,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.341101622780504,"CCES_022","BCN"
3508113110,28.866,-116.41632,2018-11-09 03:50:07,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.313710561216765,"CCES_022","BCN"
3508113111,28.86858,-116.41496,2018-11-09 04:15:55,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.39506232278412,"CCES_022","BCN"
3508113112,28.86937,-116.41457,2018-11-09 04:23:37,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.395385444876171,"CCES_022","BCN"
3508113113,28.87176,-116.41299,2018-11-09 04:45:55,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.432671335185086,"CCES_022","BCN"
3508113114,28.87214,-116.41272,2018-11-09 04:49:39,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.442314577018618,"CCES_022","BCN"
3508113115,28.87539,-116.41029,2018-11-09 05:19:29,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.467354943067164,"CCES_022","BCN"
3508113116,28.87886,-116.40723,2018-11-09 05:49:16,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.528533427079198,"CCES_022","BCN"
3508113117,28.88088,-116.40536,2018-11-09 06:15:19,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.454003557474309,"CCES_022","BCN"
3508113118,28.88122,-116.40508,2018-11-09 06:19:16,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.361347377547941,"CCES_022","BCN"
3508113119,28.8834,-116.40294,2018-11-09 06:45:16,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.394803302486824,"CCES_022","BCN"
3508113120,28.8837,-116.40263,2018-11-09 06:49:17,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.392352012971201,"CCES_022","BCN"
3508113121,28.88559,-116.40042,2018-11-09 07:18:43,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.33392762823438,"CCES_022","BCN"
3508113122,28.88595,-116.40038,2018-11-09 07:21:04,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.337953478238924,"CCES_022","BCN"
3508113123,28.88772,-116.39875,2018-11-09 07:48:09,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.315084952420464,"CCES_022","BCN"
3508113124,28.88785,-116.39865,2018-11-09 07:51:22,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.287966995843594,"CCES_022","BCN"
3508113125,28.88926,-116.39746,2018-11-09 08:18:09,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.228546120061096,"CCES_022","BCN"
3508113126,28.8895,-116.39734,2018-11-09 08:22:03,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.235092807146402,"CCES_022","BCN"
3508113127,28.89072,-116.39557,2018-11-09 08:48:09,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.264377359416612,"CCES_022","BCN"
3508113128,28.89092,-116.39545,2018-11-09 08:52:03,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.261249679225545,"CCES_022","BCN"
3508113129,28.89194,-116.39398,2018-11-09 09:15:03,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.247318122222619,"CCES_022","BCN"
3508113130,28.89214,-116.39359,2018-11-09 09:19:57,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.262226465458097,"CCES_022","BCN"
