organization_code,deployment_code,track_code,track_json,track_uri,track_comments
SWFSC,SWFSC_HUM_20221116_ADRIFT_037,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_037/metadata/gps/ADRIFT_037_GPS.csv,
SWFSC,SWFSC_HUM_20221116_ADRIFT_038,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_038/metadata/gps/ADRIFT_038_GPS.csv,
SWFSC,SWFSC_HUM_20221213_ADRIFT_039,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_039/metadata/gps/ADRIFT_039_GPS.csv,
SWFSC,SWFSC_HUM_20221213_ADRIFT_040,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_040/metadata/gps/ADRIFT_040_GPS.csv,
SWFSC,SWFSC_HUM_20221213_ADRIFT_041,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_041/metadata/gps/ADRIFT_041_GPS.csv,
SWFSC,SWFSC_ORE_20230316_ADRIFT_042,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_042/metadata/gps/ADRIFT_042_GPS.csv,
SWFSC,SWFSC_ORE_20230316_ADRIFT_043,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_043/metadata/gps/ADRIFT_043_GPS.csv,
SWFSC,SWFSC_ORE_20230316_ADRIFT_044,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_044/metadata/gps/ADRIFT_044_GPS.csv,
SWFSC,SWFSC_ORE_20230316_ADRIFT_045,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_045/metadata/gps/ADRIFT_045_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_046,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_046/metadata/gps/ADRIFT_046_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_047,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_047/metadata/gps/ADRIFT_047_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_048,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_048/metadata/gps/ADRIFT_048_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_049,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_049/metadata/gps/ADRIFT_049_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_050,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_050/metadata/gps/ADRIFT_050_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_051,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_051/metadata/gps/ADRIFT_051_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_052,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_052/metadata/gps/ADRIFT_052_GPS.csv,
SWFSC,SWFSC_MBY_20230311_ADRIFT_053,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_053/metadata/gps/ADRIFT_053_GPS.csv,
SWFSC,SWFSC_HUM_20230316_ADRIFT_054,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_054/metadata/gps/ADRIFT_054_GPS.csv,
SWFSC,SWFSC_HUM_20230316_ADRIFT_055,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_055/metadata/gps/ADRIFT_055_GPS.csv,
SWFSC,SWFSC_HUM_20230316_ADRIFT_057,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_057/metadata/gps/ADRIFT_057_GPS.csv,
SWFSC,SWFSC_ORE_20230413_ADRIFT_058,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_058/metadata/gps/ADRIFT_058_GPS.csv,
SWFSC,SWFSC_ORE_20230413_ADRIFT_059,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_059/metadata/gps/ADRIFT_059_GPS.csv,
SWFSC,SWFSC_ORE_20230413_ADRIFT_060,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_060/metadata/gps/ADRIFT_060_GPS.csv,
SWFSC,SWFSC_ORE_20230413_ADRIFT_061,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_061/metadata/gps/ADRIFT_061_GPS.csv,
SWFSC,SWFSC_ORE_20230426_ADRIFT_062,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_062/metadata/gps/ADRIFT_062_GPS.csv,
SWFSC,SWFSC_ORE_20230426_ADRIFT_063,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_063/metadata/gps/ADRIFT_063_GPS.csv,
SWFSC,SWFSC_ORE_20230426_ADRIFT_064,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_064/metadata/gps/ADRIFT_064_GPS.csv,
SWFSC,SWFSC_ORE_20230426_ADRIFT_065,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_065/metadata/gps/ADRIFT_065_GPS.csv,
SWFSC,SWFSC_SFB_20230508_ADRIFT_067,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_067/metadata/gps/ADRIFT_067_GPS.csv,
SWFSC,SWFSC_HUM_20230507_ADRIFT_068,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_068/metadata/gps/ADRIFT_068_GPS.csv,
SWFSC,SWFSC_HUM_20230507_ADRIFT_070,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_070/metadata/gps/ADRIFT_070_GPS.csv,
SWFSC,SWFSC_HUM_20230507_ADRIFT_071,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_071/metadata/gps/ADRIFT_071_GPS.csv,
SWFSC,SWFSC_ORE_20230517_ADRIFT_072,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_072/metadata/gps/ADRIFT_072_GPS.csv,
SWFSC,SWFSC_ORE_20230517_ADRIFT_073,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_073/metadata/gps/ADRIFT_073_GPS.csv,
SWFSC,SWFSC_ORE_20230517_ADRIFT_074,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_074/metadata/gps/ADRIFT_074_GPS.csv,
SWFSC,SWFSC_ORE_20230517_ADRIFT_075,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_075/metadata/gps/ADRIFT_075_GPS.csv,
SWFSC,SWFSC_ORE_20230717_ADRIFT_077,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_077/metadata/gps/ADRIFT_077_GPS.csv,
SWFSC,SWFSC_ORE_20230717_ADRIFT_078,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_078/metadata/gps/ADRIFT_078_GPS.csv,
SWFSC,SWFSC_MBY_20230711_ADRIFT_079,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_079/metadata/gps/ADRIFT_079_GPS.csv,
SWFSC,SWFSC_MBY_20230711_ADRIFT_080,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_080/metadata/gps/ADRIFT_080_GPS.csv,
SWFSC,SWFSC_MBY_20230711_ADRIFT_081,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_081/metadata/gps/ADRIFT_081_GPS.csv,
SWFSC,SWFSC_MBY_20230711_ADRIFT_082,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_082/metadata/gps/ADRIFT_082_GPS.csv,
SWFSC,SWFSC_MBY_20230711_ADRIFT_083,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_083/metadata/gps/ADRIFT_083_GPS.csv,
SWFSC,SWFSC_ORE_20230804_ADRIFT_085,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_085/metadata/gps/ADRIFT_085_GPS.csv,
SWFSC,SWFSC_ORE_20230804_ADRIFT_086,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_086/metadata/gps/ADRIFT_086_GPS.csv,
SWFSC,SWFSC_ORE_20230804_ADRIFT_087,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_087/metadata/gps/ADRIFT_087_GPS.csv,
SWFSC,SWFSC_HUM_20230825_ADRIFT_088,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_088/metadata/gps/ADRIFT_088_GPS.csv,
SWFSC,SWFSC_HUM_20230825_ADRIFT_089,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_089/metadata/gps/ADRIFT_089_GPS.csv,
SWFSC,SWFSC_HUM_20230825_ADRIFT_090,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_090/metadata/gps/ADRIFT_090_GPS.csv,
SWFSC,SWFSC_HUM_20230825_ADRIFT_091,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_091/metadata/gps/ADRIFT_091_GPS.csv,
SWFSC,SWFSC_SFB_20230917_ADRIFT_092,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_092/metadata/gps/ADRIFT_092_GPS.csv,
SWFSC,SWFSC_HUM_20231005_ADRIFT_097,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_097/metadata/gps/ADRIFT_097_GPS.csv,
SWFSC,SWFSC_HUM_20231005_ADRIFT_098,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_098/metadata/gps/ADRIFT_098_GPS.csv,
SWFSC,SWFSC_HUM_20231005_ADRIFT_099,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_099/metadata/gps/ADRIFT_099_GPS.csv,
SWFSC,SWFSC_HUM_20231005_ADRIFT_100,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_100/metadata/gps/ADRIFT_100_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_101,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_101/metadata/gps/ADRIFT_101_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_102,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_102/metadata/gps/ADRIFT_102_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_103,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_103/metadata/gps/ADRIFT_103_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_104,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_104/metadata/gps/ADRIFT_104_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_105,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_105/metadata/gps/ADRIFT_105_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_106,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_106/metadata/gps/ADRIFT_106_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_107,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_107/metadata/gps/ADRIFT_107_GPS.csv,
SWFSC,SWFSC_MBY_20231106_ADRIFT_108,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_108/metadata/gps/ADRIFT_108_GPS.csv,
SWFSC,SWFSC_HUM_20180725_CCES_004,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_004/metadata/gps/CCES_004_GPS.csv,
SWFSC,SWFSC_HUM_20180805_CCES_007,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_007/metadata/gps/CCES_007_GPS.csv,
SWFSC,SWFSC_HUM_20180816_CCES_008,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_008/metadata/gps/CCES_008_GPS.csv,
SWFSC,SWFSC_PTA_20180822_CCES_010,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_010/metadata/gps/CCES_010_GPS.csv,
SWFSC,SWFSC_MOB_20180830_CCES_012,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_012/metadata/gps/CCES_012_GPS.csv,
SWFSC,SWFSC_CHI_20180911_CCES_013,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_013/metadata/gps/CCES_013_GPS.csv,
SWFSC,SWFSC_BCN_20181005_CCES_014,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_014/metadata/gps/CCES_014_GPS.csv,
SWFSC,SWFSC_BCN_20181030_CCES_016,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_016/metadata/gps/CCES_016_GPS.csv,
SWFSC,SWFSC_BCN_20181031_CCES_017,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_017/metadata/gps/CCES_017_GPS.csv,
SWFSC,SWFSC_BCN_20181031_CCES_018,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_018/metadata/gps/CCES_018_GPS.csv,
SWFSC,SWFSC_BCN_20181101_CCES_019,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_019/metadata/gps/CCES_019_GPS.csv,
SWFSC,SWFSC_BCN_20181105_CCES_020,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_020/metadata/gps/CCES_020_GPS.csv,
SWFSC,SWFSC_BCN_20181106_CCES_021,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_021/metadata/gps/CCES_021_GPS.csv,
SWFSC,SWFSC_BCN_20181107_CCES_022,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_022/metadata/gps/CCES_022_GPS.csv,
SWFSC,SWFSC_BCN_20181122_CCES_023,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2018_CCES/drifting_recorder/CCES_023/metadata/gps/CCES_023_GPS.csv,
SWFSC,SWFSC_ORE_20160819_PASCAL_001,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_001/metadata/gps/PASCAL_001_GPS.csv,
SWFSC,SWFSC_HUM_20160821_PASCAL_002,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_002/metadata/gps/PASCAL_002_GPS.csv,
SWFSC,SWFSC_MND_20160821_PASCAL_003,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_003/metadata/gps/PASCAL_003_GPS.csv,
SWFSC,SWFSC_MBY_20160822_PASCAL_004,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_004/metadata/gps/PASCAL_004_GPS.csv,
SWFSC,SWFSC_CHI_20160822_PASCAL_005,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_005/metadata/gps/PASCAL_005_GPS.csv,
SWFSC,SWFSC_BCN_20160824_PASCAL_006,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_006/metadata/gps/PASCAL_006_GPS.csv,
SWFSC,SWFSC_BCN_20160825_PASCAL_007,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_007/metadata/gps/PASCAL_007_GPS.csv,
SWFSC,SWFSC_CHI_20160826_PASCAL_008,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_008/metadata/gps/PASCAL_008_GPS.csv,
SWFSC,SWFSC_MBY_20160827_PASCAL_009,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_009/metadata/gps/PASCAL_009_GPS.csv,
SWFSC,SWFSC_MND_20160827_PASCAL_010,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_010/metadata/gps/PASCAL_010_GPS.csv,
SWFSC,SWFSC_ORE_20160828_PASCAL_011,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_011/metadata/gps/PASCAL_011_GPS.csv,
SWFSC,SWFSC_COL_20160829_PASCAL_012,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_012/metadata/gps/PASCAL_012_GPS.csv,
SWFSC,SWFSC_COL_20160829_PASCAL_013,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_013/metadata/gps/PASCAL_013_GPS.csv,
SWFSC,SWFSC_ORE_20160831_PASCAL_015,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_015/metadata/gps/PASCAL_015_GPS.csv,
SWFSC,SWFSC_HUM_20160901_PASCAL_016,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_016/metadata/gps/PASCAL_016_GPS.csv,
SWFSC,SWFSC_PTA_20160902_PASCAL_017,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_017/metadata/gps/PASCAL_017_GPS.csv,
SWFSC,SWFSC_MBY_20160903_PASCAL_018,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_018/metadata/gps/PASCAL_018_GPS.csv,
SWFSC,SWFSC_CHI_20160904_PASCAL_019,DRIFTING-BUOY_TRACK,,gs://swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_019/metadata/gps/PASCAL_019_GPS.csv,
