organization_code,deployment_code,analysis_code,recording_codes,analysis_sound_source_codes,analysis_granularity_code,analysis_start_datetime,analysis_end_datetime,analysis_sample_rate_khz,analysis_min_frequency_khz,analysis_max_frequency_khz,analysis_processing_code,analysis_quality_code,analysis_protocol_reference,analysis_dataset_url,analysis_release_data,analysis_release_pacm,detector_codes,analysis_citation_codes,detector_version,detector_json,detector_output_filename,detector_output_uri,analysis_analysts,analysis_json,analysis_comments
SWFSC,SWFSC_CHI_20160826_PASCAL_008,BEAKED_ANALYSIS,SM2BAT_RECORDINGS,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-26T04:56:00+0000,2016-09-14T02:46:00+0000,192.0,0.0,192.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_CHI_20160904_PASCAL_019,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-09-04T01:47:23+0000,2016-09-23T06:59:21+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_CHI_20160906_PASCAL_020,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-09-06T02:37:11+0000,2016-09-29T05:18:16+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_CHI_20160924_PASCAL_026,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING_0774,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-09-24T15:15:28+0000,2016-09-26T04:21:29+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_CHI_20160924_PASCAL_027,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-09-24T15:49:50+0000,2016-09-26T03:53:51+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_CHI_20160924_PASCAL_028,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-09-24T16:40:33+0000,2016-09-29T03:38:00+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_CHI_20180911_CCES_013,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-09-11T20:56:28+0000,2018-10-23T13:58:28+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_COL_20160829_PASCAL_012,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-29T09:01:46+0000,2016-09-17T19:53:46+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_COL_20160829_PASCAL_013,BEAKED_ANALYSIS,SM3M_RECORDINGS,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-29T20:50:05+0000,2016-09-15T17:26:06+0000,256.0,0.0,256.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HMB_20210609_ADRIFT_002,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2021-06-09T18:12:23+0000,2021-06-16T22:48:53+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
