organization_code,deployment_code,recording_device_codes,recording_code,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_device_calibration_state_code,recording_redacted,recording_ncei_archived,recording_json,recording_uri,recording_calibration_uri,recording_comments
SWFSC,SWFSC_CHI_20160904_PASCAL_019,"HTI_856047,HTI_856062",SOUNDTRAP_RECORDING,2016-09-04T01:47:23+0000,2016-09-23T06:59:21+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-09-04T01:47:23+0000,2016-09-23T06:59:21+0000,0.046,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_019,,
SWFSC,SWFSC_CHI_20160906_PASCAL_020,"HTI_856056,HTI_856061",SOUNDTRAP_RECORDING,2016-09-06T02:37:11+0000,2016-09-29T05:18:16+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-09-06T02:37:11+0000,2016-09-29T05:18:16+0000,0.167,144.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_020,,
SWFSC,SWFSC_CHI_20160924_PASCAL_026,"HTI_856050,HTI_856065",SOUNDTRAP_RECORDING_0774,2016-09-24T15:15:28+0000,2016-09-26T04:21:29+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-09-24T15:15:28+0000,2016-09-26T04:21:29+0000,0.0,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_026,,
SWFSC,SWFSC_CHI_20160924_PASCAL_026,,SOUNDTRAP_RECORDING_3689,2016-09-24T15:15:58+0000,2016-09-26T04:22:03+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-09-24T15:15:58+0000,2016-09-26T04:22:03+0000,0.0,144.0,GOOD,,250.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_026,,
SWFSC,SWFSC_CHI_20160924_PASCAL_027,"HTI_856049,HTI_856068",SOUNDTRAP_RECORDING,2016-09-24T15:49:50+0000,2016-09-26T03:53:51+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-09-24T15:49:50+0000,2016-09-26T03:53:51+0000,0.0,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_027,,
SWFSC,SWFSC_CHI_20160924_PASCAL_028,"HTI_856055,HTI_856066",SOUNDTRAP_RECORDING,2016-09-24T16:40:33+0000,2016-09-29T03:38:00+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-09-24T16:40:33+0000,2016-09-29T03:38:00+0000,0.0,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_028,,
SWFSC,SWFSC_CHI_20160926_PASCAL_029,"HTI_856050,HTI_856065",SOUNDTRAP_RECORDING_0774,2016-09-26T05:39:29+0000,2016-09-28T14:17:31+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-09-26T05:39:29+0000,2016-09-28T14:17:31+0000,0.25,144.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_029,,
SWFSC,SWFSC_CHI_20160926_PASCAL_029,,SOUNDTRAP_RECORDING_3689,2016-09-26T05:42:04+0000,2016-09-28T14:18:11+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-09-26T05:42:04+0000,2016-09-28T14:18:11+0000,0.0,144.0,GOOD,,250.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_029,,
SWFSC,SWFSC_CHI_20160926_PASCAL_030,"HTI_856049,HTI_856068",SOUNDTRAP_RECORDING,2016-09-26T06:07:51+0000,2016-09-28T15:13:54+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-09-26T06:07:51+0000,2016-09-28T15:13:54+0000,0.0,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_030,,
SWFSC,SWFSC_CHI_20180911_CCES_013,"HTI_856051,HTI_856067,SOUNDTRAP_1677738025",SOUNDTRAP_RECORDING,2018-09-11T20:56:28+0000,2018-10-23T13:58:28+0000,120.0,1200.0,288.0,16,1,2,WAV,UTC,2018-09-11T20:56:28+0000,2018-10-23T13:58:28+0000,0.025,288.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_013,,
SWFSC,SWFSC_COL_20160829_PASCAL_012,"HTI_856049,HTI_856068",SOUNDTRAP_RECORDING,2016-08-29T09:01:46+0000,2016-09-17T19:53:46+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-08-29T09:01:46+0000,2016-09-17T19:53:46+0000,0.027,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_012,,
SWFSC,SWFSC_COL_20160829_PASCAL_013,"HTI_856040,HTI_856044",SM3M_RECORDINGS,2016-08-29T20:50:05+0000,2016-09-15T17:26:06+0000,120.0,120.0,256.0,16,1,2,WAV,UTC,2016-08-29T20:50:05+0000,2016-09-15T17:26:06+0000,0.25,128.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_013,,
SWFSC,SWFSC_HMB_20210609_ADRIFT_002,"SOUNDTRAP_5296,HTI_856097,HTI_856059",SOUNDTRAP_RECORDING,2021-06-09T18:12:23+0000,2021-06-16T22:48:53+0000,360.0,360.0,384.0,16,1,2,WAV,UTC,2021-06-09T18:12:23+0000,2021-06-16T22:48:53+0000,0.025,384.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_002,,
SWFSC,SWFSC_HUM_20160821_PASCAL_002,"HTI_856056,HTI_856061",SOUNDTRAP_RECORDING,2016-08-20T18:44:06+0000,2016-09-01T02:06:05+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-08-20T18:44:06+0000,2016-09-01T02:06:05+0000,0.028,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_002,,
SWFSC,SWFSC_HUM_20160901_PASCAL_016,"HTI_856054,HTI_856057",SOUNDTRAP_RECORDING,2016-09-01T13:22:02+0000,2016-09-21T00:04:02+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-09-01T13:22:02+0000,2016-09-21T00:04:02+0000,0.1,144.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_016,,
SWFSC,SWFSC_HUM_20180725_CCES_004,"HTI_856040,HTI_856073",SM3M_RECORDINGS,2018-07-30T00:00:00+0000,2018-10-12T23:59:59+0000,120.0,1200.0,256.0,16,1,2,WAV,UTC,2018-07-30T00:00:00+0000,2018-10-12T23:59:59+0000,0.1,256.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_004,,
SWFSC,SWFSC_HUM_20180805_CCES_007,"HTI_856049,HTI_856068,SOUNDTRAP_1208791071",SOUNDTRAP_RECORDING,2018-08-05T15:27:50+0000,2018-09-22T18:09:50+0000,120.0,1200.0,288.0,16,1,2,WAV,UTC,2018-08-05T15:27:50+0000,2018-09-22T18:09:50+0000,0.02,288.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_007,,
SWFSC,SWFSC_HUM_20180816_CCES_008,"SOUNDTRAP_1678016538,HTI_856041,HTI_856095",SOUNDTRAP_RECORDING,2018-08-16T04:38:04+0000,2018-10-01T01:59:55+0000,120.0,1200.0,288.0,16,1,2,WAV,UTC,2018-08-16T04:38:04+0000,2018-10-01T01:59:55+0000,0.03,288.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_008,,
