UTC,species,call,DriftName
08/25/2021 19:00:00,Bm,B,ADRIFT_001
08/25/2021 19:00:00,Bm,A,ADRIFT_001
08/25/2021 20:00:00,Bm,D,ADRIFT_001
08/25/2021 21:00:00,Bm,A,ADRIFT_001
08/25/2021 21:00:00,Bm,B,ADRIFT_001
08/25/2021 22:00:00,Bm,B,ADRIFT_001
08/25/2021 22:00:00,Bm,A,ADRIFT_001
08/25/2021 23:00:00,Bm,A,ADRIFT_001
08/25/2021 23:00:00,Bm,D,ADRIFT_001
08/25/2021 23:00:00,Bm,B,ADRIFT_001
08/26/2021 00:00:00,Bm,A,ADRIFT_001
08/26/2021 00:00:00,Bm,B,ADRIFT_001
08/26/2021 01:00:00,Bm,A,ADRIFT_001
08/26/2021 01:00:00,Bm,B,ADRIFT_001
08/26/2021 02:00:00,Bm,B,ADRIFT_001
08/26/2021 02:00:00,Bm,A,ADRIFT_001
08/26/2021 03:00:00,Bm,A,ADRIFT_001
08/26/2021 03:00:00,Bm,B,ADRIFT_001
08/26/2021 04:00:00,Bm,A,ADRIFT_001
08/26/2021 04:00:00,Bm,B,ADRIFT_001
08/26/2021 05:00:00,Bm,B,ADRIFT_001
08/26/2021 05:00:00,Bm,A,ADRIFT_001
08/26/2021 06:00:00,Bm,B,ADRIFT_001
08/26/2021 06:00:00,Bm,A,ADRIFT_001
08/26/2021 07:00:00,Bm,B,ADRIFT_001
08/26/2021 07:00:00,Bm,A,ADRIFT_001
08/26/2021 08:00:00,Bm,A,ADRIFT_001
08/26/2021 08:00:00,Bm,B,ADRIFT_001
08/26/2021 09:00:00,Bm,B,ADRIFT_001
08/26/2021 09:00:00,Bm,A,ADRIFT_001
08/26/2021 10:00:00,Bm,A,ADRIFT_001
08/26/2021 10:00:00,Bm,B,ADRIFT_001
08/26/2021 11:00:00,Bm,B,ADRIFT_001
08/26/2021 11:00:00,Bm,A,ADRIFT_001
08/26/2021 12:00:00,Bp,20Hz,ADRIFT_001
08/26/2021 12:00:00,Bm,B,ADRIFT_001
08/26/2021 12:00:00,Bm,A,ADRIFT_001
08/26/2021 13:00:00,Bm,A,ADRIFT_001
08/26/2021 13:00:00,Bm,D,ADRIFT_001
08/26/2021 13:00:00,Bm,B,ADRIFT_001
08/26/2021 14:00:00,Bm,B,ADRIFT_001
08/26/2021 14:00:00,Bm,A,ADRIFT_001
08/26/2021 15:00:00,Bm,A,ADRIFT_001
08/26/2021 15:00:00,Bm,B,ADRIFT_001
08/26/2021 16:00:00,Bm,A,ADRIFT_001
08/26/2021 16:00:00,Bm,B,ADRIFT_001
08/26/2021 17:00:00,Bm,B,ADRIFT_001
08/26/2021 18:00:00,Bm,B,ADRIFT_001
08/26/2021 18:00:00,Bm,A,ADRIFT_001
08/26/2021 19:00:00,Bm,A,ADRIFT_001
08/26/2021 19:00:00,Bm,B,ADRIFT_001
08/26/2021 20:00:00,Bm,A,ADRIFT_001
08/26/2021 20:00:00,Bm,B,ADRIFT_001
08/26/2021 21:00:00,Bm,B,ADRIFT_001
08/26/2021 22:00:00,Bm,B,ADRIFT_001
08/26/2021 22:00:00,Bm,A,ADRIFT_001
08/26/2021 23:00:00,Bm,B,ADRIFT_001
08/27/2021 00:00:00,Bm,B,ADRIFT_001
08/27/2021 00:00:00,Bm,A,ADRIFT_001
08/27/2021 01:00:00,Bm,A,ADRIFT_001
08/27/2021 01:00:00,Bm,B,ADRIFT_001
08/27/2021 02:00:00,Bm,B,ADRIFT_001
08/27/2021 02:00:00,Bm,A,ADRIFT_001
08/27/2021 03:00:00,Bm,A,ADRIFT_001
08/27/2021 03:00:00,Bm,B,ADRIFT_001
08/27/2021 04:00:00,Bm,A,ADRIFT_001
08/27/2021 04:00:00,Bm,B,ADRIFT_001
08/27/2021 05:00:00,Bm,A,ADRIFT_001
08/27/2021 06:00:00,Bm,A,ADRIFT_001
08/27/2021 06:00:00,Bm,B,ADRIFT_001
08/27/2021 07:00:00,Bm,B,ADRIFT_001
08/27/2021 07:00:00,Bm,A,ADRIFT_001
08/27/2021 08:00:00,Bm,A,ADRIFT_001
08/27/2021 08:00:00,Bm,B,ADRIFT_001
08/27/2021 09:00:00,Bm,A,ADRIFT_001
08/27/2021 09:00:00,Bm,B,ADRIFT_001
08/27/2021 10:00:00,Bm,A,ADRIFT_001
08/27/2021 10:00:00,Bm,B,ADRIFT_001
08/27/2021 11:00:00,Bm,A,ADRIFT_001
08/27/2021 11:00:00,Bm,B,ADRIFT_001
08/27/2021 12:00:00,Bm,A,ADRIFT_001
08/27/2021 12:00:00,Bm,B,ADRIFT_001
08/27/2021 13:00:00,Bm,B,ADRIFT_001
08/27/2021 13:00:00,Bm,A,ADRIFT_001
08/27/2021 14:00:00,Bm,A,ADRIFT_001
08/27/2021 14:00:00,Bm,B,ADRIFT_001
08/27/2021 15:00:00,Bm,A,ADRIFT_001
08/27/2021 15:00:00,Bm,B,ADRIFT_001
08/27/2021 16:00:00,Bm,A,ADRIFT_001
08/27/2021 16:00:00,Bm,B,ADRIFT_001
08/28/2021 06:00:00,Bm,A,ADRIFT_001
08/28/2021 06:00:00,Bm,B,ADRIFT_001
08/28/2021 07:00:00,Bm,B,ADRIFT_001
08/28/2021 07:00:00,Bm,A,ADRIFT_001
08/28/2021 08:00:00,Bm,B,ADRIFT_001
08/28/2021 09:00:00,Bm,A,ADRIFT_001
08/28/2021 09:00:00,Bm,B,ADRIFT_001
08/28/2021 10:00:00,Bm,A,ADRIFT_001
08/28/2021 10:00:00,Bm,B,ADRIFT_001
08/28/2021 11:00:00,Bm,A,ADRIFT_001
08/28/2021 11:00:00,Bm,B,ADRIFT_001
08/28/2021 12:00:00,Bm,B,ADRIFT_001
08/28/2021 12:00:00,Bm,A,ADRIFT_001
08/28/2021 13:00:00,Bm,A,ADRIFT_001
08/28/2021 13:00:00,Bm,B,ADRIFT_001
08/28/2021 14:00:00,Bm,B,ADRIFT_001
08/28/2021 14:00:00,Bm,A,ADRIFT_001
08/28/2021 15:00:00,Bm,A,ADRIFT_001
08/28/2021 15:00:00,Bm,B,ADRIFT_001
08/28/2021 16:00:00,Bm,A,ADRIFT_001
08/28/2021 16:00:00,Bm,B,ADRIFT_001
08/28/2021 17:00:00,Bm,B,ADRIFT_001
08/28/2021 22:00:00,Bm,B,ADRIFT_001
08/28/2021 23:00:00,Bm,B,ADRIFT_001
06/09/2021 20:00:00,Mn,Song,ADRIFT_002
06/09/2021 20:00:00,Pm,Clicks,ADRIFT_002
06/09/2021 21:00:00,Anthro,Ship/Narrowband,ADRIFT_002
06/09/2021 22:00:00,Pm,Clicks,ADRIFT_002
06/09/2021 23:00:00,Pm,Clicks,ADRIFT_002
06/09/2021 23:00:00,Mn,Song,ADRIFT_002
06/10/2021 00:00:00,Mn,unidentified,ADRIFT_002
06/10/2021 01:00:00,NBHF,NA,ADRIFT_002
06/10/2021 04:00:00,Mn,unidentified,ADRIFT_002
06/10/2021 04:00:00,Mn,Song,ADRIFT_002
06/10/2021 04:00:00,ZC,NA,ADRIFT_002
06/10/2021 05:00:00,ZC,NA,ADRIFT_002
06/10/2021 07:00:00,Bp,20Hz,ADRIFT_002
06/10/2021 13:00:00,Lo,Clicks/A,ADRIFT_002
06/10/2021 16:00:00,Mn,unidentified,ADRIFT_002
06/11/2021 00:00:00,Bp,20Hz,ADRIFT_002
06/11/2021 08:00:00,ZC,NA,ADRIFT_002
06/11/2021 10:00:00,ZC,NA,ADRIFT_002
06/11/2021 11:00:00,Bm,B,ADRIFT_002
06/11/2021 12:00:00,Bm,B,ADRIFT_002
06/11/2021 12:00:00,Mn,Song,ADRIFT_002
06/11/2021 15:00:00,ZC,NA,ADRIFT_002
06/11/2021 15:00:00,Anthro,Ship/Narrowband,ADRIFT_002
06/11/2021 16:00:00,Anthro,Ship/Narrowband,ADRIFT_002
06/11/2021 18:00:00,UO,Whistles,ADRIFT_002
06/11/2021 18:00:00,Anthro,Ship/Narrowband,ADRIFT_002
06/11/2021 20:00:00,Anthro,Ship/Narrowband,ADRIFT_002
06/11/2021 21:00:00,ZC,NA,ADRIFT_002
06/11/2021 21:00:00,Lo,Clicks/A,ADRIFT_002
06/12/2021 02:00:00,Mn,unidentified,ADRIFT_002
06/12/2021 03:00:00,Mn,Song,ADRIFT_002
06/12/2021 04:00:00,ZC,NA,ADRIFT_002
06/12/2021 04:00:00,Lo,Clicks/A,ADRIFT_002
06/12/2021 05:00:00,ZC,NA,ADRIFT_002
06/12/2021 06:00:00,Lo,Clicks/A,ADRIFT_002
06/12/2021 09:00:00,Anthro,Ship/Broadband,ADRIFT_002
06/12/2021 10:00:00,Lo,Clicks/A,ADRIFT_002
06/12/2021 19:00:00,Anthro,Ship/Broadband,ADRIFT_002
06/12/2021 21:00:00,NBHF,NA,ADRIFT_002
06/12/2021 22:00:00,NBHF,NA,ADRIFT_002
06/13/2021 00:00:00,Lo,Clicks/A,ADRIFT_002
06/13/2021 01:00:00,NBHF,NA,ADRIFT_002
06/13/2021 03:00:00,Mn,unidentified,ADRIFT_002
06/13/2021 08:00:00,Anthro,Ship/Low Frequency,ADRIFT_002
06/13/2021 09:00:00,Mn,unidentified,ADRIFT_002
06/13/2021 10:00:00,Mn,unidentified,ADRIFT_002
06/13/2021 10:00:00,Mn,Song,ADRIFT_002
06/13/2021 10:00:00,ZC,NA,ADRIFT_002
06/13/2021 11:00:00,ZC,NA,ADRIFT_002
06/13/2021 11:00:00,Lo,Clicks/A,ADRIFT_002
06/13/2021 11:00:00,UO,Whistles,ADRIFT_002
06/13/2021 13:00:00,Lo,Clicks/A,ADRIFT_002
06/13/2021 14:00:00,Lo,Clicks/A,ADRIFT_002
06/13/2021 17:00:00,ZC,NA,ADRIFT_002
06/13/2021 18:00:00,ZC,NA,ADRIFT_002
06/13/2021 19:00:00,Anthro,Ship/Broadband,ADRIFT_002
06/13/2021 19:00:00,BB,NA,ADRIFT_002
06/13/2021 20:00:00,BB,NA,ADRIFT_002
06/13/2021 20:00:00,Anthro,Ship/Broadband,ADRIFT_002
06/13/2021 21:00:00,BB,NA,ADRIFT_002
06/13/2021 23:00:00,Bp,20Hz,ADRIFT_002
06/13/2021 23:00:00,Anthro,Ship/Broadband,ADRIFT_002
06/14/2021 00:00:00,Anthro,Ship/Low Frequency,ADRIFT_002
06/14/2021 01:00:00,Anthro,Ship/Low Frequency,ADRIFT_002
06/14/2021 04:00:00,Bp,20Hz,ADRIFT_002
06/14/2021 05:00:00,Bp,20Hz,ADRIFT_002
06/14/2021 06:00:00,ZC,NA,ADRIFT_002
06/14/2021 06:00:00,Anthro,Ship/Low Frequency,ADRIFT_002
06/14/2021 06:00:00,Lo,Clicks/A,ADRIFT_002
06/14/2021 07:00:00,Anthro,Ship/Low Frequency,ADRIFT_002
06/14/2021 10:00:00,Anthro,Ship/Broadband,ADRIFT_002
06/15/2021 03:00:00,Mn,unidentified,ADRIFT_002
06/15/2021 04:00:00,Bp,20Hz,ADRIFT_002
06/15/2021 04:00:00,Mn,unidentified,ADRIFT_002
06/15/2021 05:00:00,Mn,unidentified,ADRIFT_002
06/15/2021 07:00:00,Bp,20Hz,ADRIFT_002
06/15/2021 14:00:00,Anthro,Ship/Narrowband,ADRIFT_002
06/15/2021 20:00:00,NBHF,NA,ADRIFT_002
06/15/2021 20:00:00,Pm,Clicks,ADRIFT_002
06/15/2021 21:00:00,Bp,20Hz,ADRIFT_002
06/15/2021 22:00:00,Bp,20Hz,ADRIFT_002
06/16/2021 15:00:00,NBHF,NA,ADRIFT_002
07/25/2021 18:00:00,Lo,Clicks/A,ADRIFT_003
07/25/2021 18:00:00,Mn,unidentified,ADRIFT_003
07/25/2021 18:00:00,Mn,Song,ADRIFT_003
07/25/2021 19:00:00,Mn,Song,ADRIFT_003
07/25/2021 19:00:00,Mn,Social,ADRIFT_003
07/25/2021 19:00:00,Anthro,Ship/Low Frequency,ADRIFT_003
07/25/2021 19:00:00,Mn,unidentified,ADRIFT_003
07/25/2021 20:00:00,Mn,unidentified,ADRIFT_003
07/25/2021 20:00:00,Er,unidentified,ADRIFT_003
07/25/2021 22:00:00,Mn,unidentified,ADRIFT_003
07/25/2021 23:00:00,Mn,unidentified,ADRIFT_003
07/25/2021 23:00:00,Er,unidentified,ADRIFT_003
07/26/2021 00:00:00,Er,unidentified,ADRIFT_003
07/26/2021 00:00:00,Mn,unidentified,ADRIFT_003
07/26/2021 00:00:00,Mn,Song,ADRIFT_003
