organization_code,deployment_code,analysis_code,recording_codes,analysis_sound_source_codes,analysis_granularity_code,analysis_start_datetime,analysis_end_datetime,analysis_sample_rate_khz,analysis_min_frequency_khz,analysis_max_frequency_khz,analysis_processing_code,analysis_quality_code,analysis_protocol_reference,analysis_dataset_url,analysis_release_data,analysis_release_pacm,detector_codes,analysis_citation_codes,detector_version,detector_json,detector_output_filename,detector_output_uri,analysis_analysts,analysis_json,analysis_comments
SWFSC,SWFSC_NEPAC_20240817_CALCURCEAS_001,BLWH_ANALYSIS,SOUNDTRAP_RECORDING,BLWH,INTERVAL,2024-08-17T19:00:00Z,2024-08-25T13:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240817_CALCURCEAS_001,FIWH_ANALYSIS,SOUNDTRAP_RECORDING,FIWH,INTERVAL,2024-08-17T19:00:00Z,2024-08-25T13:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240817_CALCURCEAS_001,SEWH_ANALYSIS,SOUNDTRAP_RECORDING,SEWH,INTERVAL,2024-08-17T19:00:00Z,2024-08-25T13:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240820_CALCURCEAS_002,BLWH_ANALYSIS,SOUNDTRAP_RECORDING,BLWH,INTERVAL,2024-08-20T11:00:00Z,2024-08-30T02:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240820_CALCURCEAS_002,FIWH_ANALYSIS,SOUNDTRAP_RECORDING,FIWH,INTERVAL,2024-08-20T11:00:00Z,2024-08-30T02:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240820_CALCURCEAS_002,SEWH_ANALYSIS,SOUNDTRAP_RECORDING,SEWH,INTERVAL,2024-08-20T11:00:00Z,2024-08-30T02:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240821_CALCURCEAS_004,BLWH_ANALYSIS,SOUNDTRAP_RECORDING,BLWH,INTERVAL,2024-08-21T03:00:00Z,2024-08-28T04:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240821_CALCURCEAS_004,FIWH_ANALYSIS,SOUNDTRAP_RECORDING,FIWH,INTERVAL,2024-08-21T03:00:00Z,2024-08-28T04:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240821_CALCURCEAS_004,SEWH_ANALYSIS,SOUNDTRAP_RECORDING,SEWH,INTERVAL,2024-08-21T03:00:00Z,2024-08-28T04:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240823_CALCURCEAS_006,BLWH_ANALYSIS,SOUNDTRAP_RECORDING,BLWH,INTERVAL,2024-08-22T23:00:00Z,2024-08-30T16:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240823_CALCURCEAS_006,FIWH_ANALYSIS,SOUNDTRAP_RECORDING,FIWH,INTERVAL,2024-08-22T23:00:00Z,2024-08-30T16:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240823_CALCURCEAS_006,SEWH_ANALYSIS,SOUNDTRAP_RECORDING,SEWH,INTERVAL,2024-08-22T23:00:00Z,2024-08-30T16:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
SWFSC,SWFSC_NEPAC_20240913_CALCURCEAS_008,BLWH_ANALYSIS,SOUNDTRAP_RECORDING,BLWH,INTERVAL,2024-09-13T22:00:00Z,2024-09-21T00:59:59Z,0.4,0,0.2,POST_PROCESSED,FULLY_VALIDATED,Unpublished,,TRUE,TRUE,DEEP_ACOUSTICS,,,,,,,,
